Player,Team,GP,MIN,PTS,FGM,FGA,FG%,3P Made,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV
Allen Flanigan,AU,22,24.4,6.3,2.2,5.6,0.395,0.4,1.8,0.205,1.5,2.3,0.647,0.6,2.9,3.5,1.3,0.6,0.1,
Eric Ayala,ATL,24,15.6,6,2,5.1,0.382,0.9,2.9,0.3,1.3,1.8,0.698,0.3,1.8,2.1,1.2,0.6,0,
Fedor Zugic,RUL,54,15.7,5.9,1.9,4.8,0.402,1,3,0.337,1,1.4,0.724,0.2,1.3,1.4,0.7,0.3,0.1,
Nolan Hickman,GU,32,17.1,5.1,2,4.5,0.444,0.8,2.4,0.308,0.3,0.5,0.667,0.1,1.4,1.5,1.3,0.6,0.2,
Earl Timberlake,UM,29,17,4.7,1.8,3.8,0.468,0,0.1,0,1.1,1.8,0.585,1,2.4,3.4,1.6,0.5,0.5,
Tom Digbeu,BRI,19,12.3,4.6,1.5,3.3,0.46,0.3,0.7,0.385,1.3,1.7,0.727,0.4,1.2,1.5,1.1,0.5,0.3,
Mario Nakic,AND,48,13.6,4.5,1.7,3.9,0.441,0.4,1.4,0.262,0.7,0.9,0.773,0.8,1.4,2.2,0.5,0.6,0.2,
Ruben Dominguez,EST,30,11.4,3.7,1.3,3.5,0.368,0.6,2,0.311,0.4,0.6,0.722,0.3,1.2,1.5,0.6,0.3,0.2,
Justin Powell,UT,30,14,3.7,1.3,3.2,0.392,0.8,2.1,0.381,0.4,0.5,0.733,0.5,1,1.5,0.7,0.3,0.2,
Tristan Vukcevic,PAR,36,8.4,3.4,1.2,2.6,0.478,0.4,1.3,0.34,0.5,1,0.514,0.3,1.3,1.6,0.2,0.3,0.1,
Peyton Watson,UCLA,32,12.7,3.3,1.2,3.7,0.322,0.2,1,0.226,0.7,1,0.688,0.9,2,2.9,0.8,0.6,0.6,
Daimion Collins,UK,27,7.2,2.9,1.1,1.9,0.577,0,0.1,0,0.7,0.8,0.857,0.7,1.4,2,0.1,0.2,0.7,
Zsombor Maronka,JOV,41,10.4,2.5,0.9,3.2,0.285,0.4,1.9,0.205,0.3,0.5,0.632,0.4,1.1,1.5,0.5,0.3,0.1,
Yannick Nzosa,UNI,40,10.4,2.1,0.9,2.4,0.379,0,0.2,0,0.3,0.5,0.611,0.8,1,1.8,0.2,0.3,0.6,
Nikita Mikhailovskii,JACK,2,3.2,1,0.5,1,0.5,0,0.5,0,0,0,0,0,0,0,0.5,0,0,
